phase,model_name,int8_top1,int8_top5,int8_size_mb,quantization_drop_top1,winograd_friendly
Phase 1 - Baselines,vgg_style,51.188743114471436,75.5200743675232,2.3767032623291016,0.626063346862793,True
Phase 4 - Final Architecture,alexnet_final_fire_residual,49.20102655887604,74.38758611679077,0.7463092803955078,0.5922645330429077,True
Phase 3 - Compensation,alexnet_residual,47.273704409599304,72.4995493888855,58.10271072387695,0.7392346858978271,True
Phase 4 - Final Architecture,alexnet_final_bottleneck_residual,45.980674028396606,72.3289430141449,0.6376895904541016,-0.8810728788375854,True
Phase 3 - Compensation,alexnet_bottleneck,44.539082050323486,71.01452946662903,0.4317798614501953,0.08389651775360107,True
Phase 3 - Compensation,alexnet_fire,44.30399537086487,70.88165879249573,0.5513744354248047,-0.32752156257629395,True
Phase 4 - Final Architecture,alexnet_final_bottleneck_fire,44.00103688240051,70.15194892883301,0.5452156066894531,-1.7149567604064941,True
Phase 2 - AlexNet Variants,alexnet_stacked,42.79284477233887,68.71417760848999,57.94155311584473,1.766839623451233,True
Phase 4 - Final Architecture,alexnet_final_depthwise_fire,42.78924763202667,68.95307302474976,0.5093898773193359,0.6666272878646851,True
Phase 3 - Compensation,alexnet_factorized,42.59788990020752,67.79850721359253,54.683115005493164,0.2922534942626953,False
Phase 3 - Compensation,alexnet_depthwisesep,41.46906137466431,66.99280738830566,0.39975547790527344,2.9209494590759277,True
Phase 2 - AlexNet Variants,alexnet_mixed,37.99386024475098,63.80206346511841,1.705047607421875,0.7461965084075928,False
Phase 3 - Compensation,alexnet_gap,37.599918246269226,62.967491149902344,2.232311248779297,1.1386096477508545,True
Phase 2 - AlexNet Variants,alexnet_3x3,36.19011640548706,61.98274493217468,55.124595642089844,-0.40295422077178955,True
Phase 2 - AlexNet Variants,alexnet_small_kernel,35.94608008861542,61.60731911659241,1.5610408782958984,9.890484809875488,True
Phase 1 - Baselines,alexnet_tv,31.90320134162903,57.23748803138733,55.33261299133301,0.9847193956375122,False
Phase 2 - AlexNet Variants,alexnet_2x2,30.88858127593994,56.483012437820435,1.0399894714355469,-0.8647680282592773,False
Phase 3 - Compensation,alexnet_groupconv,27.70700454711914,55.09711503982544,53.538496017456055,1.474994421005249,True
Phase 2 - AlexNet Variants,alexnet_tv,26.27626061439514,51.75224542617798,55.33261299133301,-1.9881173968315125,False
