kernel_size,in_ch,out_ch,latency_median_ms,latency_mean_ms,latency_std_ms,n
5.0,16.0,16.0,0.1264965534210205,0.12657135725021362,0.0805494635249401,4
5.0,32.0,32.0,0.1578766107559204,0.1578909158706665,0.045997523952468686,4
5.0,64.0,64.0,0.7489335536956787,0.748935341835022,0.00015981011982663636,4
5.0,128.0,128.0,3.744857907295227,3.7448209524154663,0.00012723043899198847,4
7.0,16.0,16.0,0.12701153755187988,0.12696921825408936,0.0805882857642287,4
7.0,32.0,32.0,0.1508784294128418,0.15103846788406372,0.05312225475189671,4
7.0,64.0,64.0,0.8032459020614624,0.8031567931175232,0.00020885652375456434,4
7.0,128.0,128.0,3.9586806297302246,3.9587053656578064,0.000329009540603292,4
9.0,16.0,16.0,0.12649893760681152,0.1265549659729004,0.08053749725564184,4
9.0,32.0,32.0,0.157126784324646,0.15725821256637573,0.04684075373088205,4
9.0,64.0,64.0,0.868186354637146,0.8681264519691467,0.00027541624530854486,4
9.0,128.0,128.0,4.250832200050354,4.250880777835846,0.00019602680026284554,4
11.0,16.0,16.0,0.14258921146392822,0.14272332191467285,0.08163135177525485,4
11.0,32.0,32.0,0.19635558128356934,0.19629687070846558,0.020657065753180222,4
11.0,64.0,64.0,1.3274770975112915,1.3274937868118286,0.000277732062082583,4
11.0,128.0,128.0,6.080108284950256,6.080051958560944,0.0002720504255068429,4
