phase,base_model,top1_%_FP32,top1_%_INT8,qat_top1_drop_%,top5_%_FP32,top5_%_INT8,qat_top5_drop_%,loss_FP32,loss_INT8,params_M_FP32,size_MB_FP32,size_MB_INT8
Phase 1 — Baselines,mobilenetv2,57.99558162689209,,,81.51498436927795,,,1.7545263767242432,,2.480072,28.751924514770508,
Phase 1 — Baselines,resnet18_tv,53.91363501548767,,,77.79748439788818,,,1.965943932533264,,11.279112,129.20868110656738,
Phase 1 — Baselines,vgg_style,51.81480646133423,51.18874311447144,0.6260633468627859,75.88169574737549,75.5200743675232,0.3616213798522949,2.0700058937072754,2.093930959701538,2.405288,27.58481216430664,2.3767032623291016
Phase 1 — Baselines,alexnet_tv,32.88792073726654,31.90320134162903,0.9847193956375122,58.21973085403442,57.23748803138733,0.9822428226470876,2.993847608566284,3.041804075241089,57.82324,661.7541408538818,55.33261299133301
Phase 2 — AlexNet Variants,alexnet_small_kernel,45.836564898490906,36.16283535957336,9.673729538917549,71.07693552970886,61.6033136844635,9.473621845245361,2.3493072986602783,3.1117703914642334,1.602376,18.353315353393555,1.5610408782958984
Phase 2 — AlexNet Variants,alexnet_stacked,45.21975517272949,42.30971932411194,2.9100358486175537,70.96072435379028,68.34551692008972,2.6152074337005615,2.35379695892334,2.511702537536621,60.483976,692.2550354003906,57.94155311584473
Phase 2 — AlexNet Variants,alexnet_3x3_gap,40.31681120395661,37.023475766181946,3.2933354377746653,66.32042527198792,62.888675928115845,3.4317493438720703,2.6120641231536865,2.774449110031128,2.302984,26.37101173400879,2.232471466064453
Phase 2 — AlexNet Variants,alexnet_mixed,38.74005675315857,37.99386024475098,0.7461965084075928,64.82577323913574,63.80206346511841,1.023709774017334,2.6837058067321777,2.724204540252685,1.750024,20.042604446411133,1.705047607421875
Phase 2 — AlexNet Variants,alexnet_3x3_fc,35.78716218471527,36.18548810482025,-0.39832592010498047,61.28220558166504,62.16447353363037,-0.882267951965332,2.884495735168457,2.858550548553467,57.605128,659.2580509185791,55.1247501373291
Phase 2 — AlexNet Variants,alexnet_2x2_gap,33.15201997756958,30.817538499832157,2.334481477737423,58.94674062728882,56.08581900596619,2.860921621322632,2.9859299659729004,3.103276491165161,1.052744,12.063150405883787,1.0401496887207031
Phase 2 — AlexNet Variants,alexnet_tv,32.20268785953522,26.27626061439514,5.926427245140076,57.60788321495056,51.75224542617798,5.855637788772583,3.0082573890686035,3.3020150661468506,57.82324,661.7543239593506,55.33261299133301
Phase 2 — AlexNet Variants,alexnet_2x2_fc,30.532345175743103,31.539398431777958,-1.0070532560348546,56.02866411209106,57.15075135231018,-1.1220872402191233,3.11851167678833,3.077484607696533,35.383368,404.9503231048584,33.9323673248291
Phase 3 — Compensation,alexnet_residual,48.01293909549713,47.2737044095993,0.7392346858978343,73.10833930969238,72.4995493888855,0.6087899208068848,2.247621774673462,2.31097149848938,60.67028,694.4140338897705,58.10271072387695
Phase 3 — Compensation,alexnet_bottleneck,44.62297856807709,44.539082050323486,0.08389651775360107,71.03633880615234,71.01452946662903,0.02180933952331543,2.362962484359741,2.3611302375793457,0.385,4.491744995117188,0.4317798614501953
Phase 3 — Compensation,alexnet_depthwisesep,44.39001083374024,41.46906137466431,2.920949459075935,69.4456160068512,66.99280738830566,2.4528086185455322,2.4159719944000244,2.555845260620117,0.313641,3.654016494750977,0.3997554779052734
Phase 3 — Compensation,alexnet_fire,43.976473808288574,44.30399537086487,-0.32752156257629395,70.43158411979675,70.88165879249573,-0.4500746726989746,2.4098563194274902,2.384477138519287,0.516152,5.989412307739258,0.5513744354248047
Phase 3 — Compensation,alexnet_factorized,42.890143394470215,42.59788990020752,0.2922534942626953,68.91416311264038,67.79850721359253,1.1156558990478516,2.497375965118408,2.5493292808532715,57.06676,653.1486721038818,54.68311500549317
Phase 3 — Compensation,alexnet_gap,38.73852789402008,37.599918246269226,1.1386096477508545,64.8317277431488,62.96749114990234,1.864236593246467,2.6885793209075928,2.77510666847229,2.302984,26.370630264282227,2.232311248779297
Phase 3 — Compensation,alexnet_groupconv,29.18199896812439,27.70700454711914,1.474994421005249,57.067954540252686,55.09711503982544,1.970839500427246,3.078163385391236,3.1615710258483887,55.919752,639.9905910491943,53.538496017456055
Phase 3 — Compensation,alexnet_se,0.4999999888241291,,,2.499999850988388,,,5.298777580261231,,57.646288,659.7523059844971,
